optimizer,dataset,seed,min_sse
lshade,dual_annealing_3,3,45296.89775697
lshade,lshade_2,5,60918.91114164
pso,cmaes_3,10,1166723.55047869
lshade,lshade_3,3,94313.74654035
cmaes,lshade_1,4,193379.63064324
lshade,basin_hopping_3,4,104499.06821635
dual_annealing,dual_annealing_3,2,152618.80703374
cmaes,pso_3,10,68776.71853844
lshade,lshade_3,8,76025.09055509
cmaes,cmaes_1,3,53954.81354668
pso,basin_hopping_2,10,781729.43363174
pso,basin_hopping_1,1,2923766.09930541
cmaes,lshade_3,3,779517.76253341
basin_hopping,cmaes_1,8,159040.43386006
dual_annealing,lshade_3,4,121106.20129878
pso,basin_hopping_2,8,880013.82893038
lshade,dual_annealing_2,9,44318.90260909
dual_annealing,cmaes_3,5,305738.77494074
lshade,lshade_1,4,58416.1143292
cmaes,pso_3,6,48980.69717691
pso,cmaes_1,10,1081144.76342489
cmaes,basin_hopping_3,6,57742.75020688
basin_hopping,lshade_1,3,178752.32113797
lshade,basin_hopping_2,3,104552.46373549
dual_annealing,basin_hopping_3,1,884870.53312782
pso,dual_annealing_3,10,928978.31034275
basin_hopping,cmaes_1,2,747241.85047257
dual_annealing,lshade_2,9,139655.82384074
lshade,dual_annealing_1,3,48186.60418395
dual_annealing,pso_1,3,1156139.49757195
dual_annealing,cmaes_1,6,1166921.52867937
basin_hopping,basin_hopping_3,7,336415.68069993
pso,cmaes_2,1,846196.6254017
basin_hopping,dual_annealing_1,10,277234.49697012
lshade,cmaes_1,8,116765.41704749
cmaes,dual_annealing_2,7,532602.50676026
cmaes,lshade_1,2,192250.88619281
lshade,lshade_2,3,63922.46319218
basin_hopping,pso_2,5,34919.63692193
basin_hopping,lshade_2,5,47829.38763346
dual_annealing,lshade_2,8,394608.1786302
cmaes,lshade_3,7,780079.65994521
lshade,lshade_2,1,70227.12365058
cmaes,pso_1,10,511838.01952845
cmaes,pso_2,9,63238.73807951
basin_hopping,pso_3,3,50110.53610535
lshade,dual_annealing_2,1,52636.66638321
dual_annealing,cmaes_3,6,1100073.80827178
basin_hopping,pso_3,4,483855.82351837
dual_annealing,basin_hopping_3,5,897025.69251301
lshade,dual_annealing_3,4,68172.41561261
lshade,cmaes_2,5,129956.03096447
