optimizer,category,rmse_use,mase,optimizer_name
dual_annealing,lshade,78.16027179720987,0.32344194095162065,Dual Annealing
cmaes,lshade,34.505911423140645,0.2879818309440784,CMA-ES
pso,basin_hopping,229.6893254090727,0.4641941382153442,PSO
basin_hopping,lshade,39.23421304472459,0.3997880309701048,Basin Hopping
pso,dual_annealing,228.62769565102897,0.36338652021135437,PSO
basin_hopping,lshade,32.583543448131586,0.47407572364839257,Basin Hopping
dual_annealing,basin_hopping,42.64894605656254,0.3840880999230918,Dual Annealing
lshade,dual_annealing,32.1673971733117,0.3953974697485475,L-SHADE
dual_annealing,lshade,206.27586143818343,0.36555481346898827,Dual Annealing
lshade,cmaes,60.18300491182107,0.3817589330777331,L-SHADE
dual_annealing,basin_hopping,253.90533298648975,0.4821395175363244,Dual Annealing
basin_hopping,dual_annealing,32.77508395271032,0.36103640936328196,Basin Hopping
basin_hopping,pso,31.308097071227362,0.4075186848482528,Basin Hopping
dual_annealing,basin_hopping,72.17473674427143,0.45611168227083826,Dual Annealing
pso,lshade,176.19971473572252,0.315934787882405,PSO
cmaes,basin_hopping,28.94987433582398,0.45684505821146654,CMA-ES
basin_hopping,lshade,36.1566550078862,0.44626951581496965,Basin Hopping
lshade,cmaes,54.999522731208295,0.3508421844497026,L-SHADE
cmaes,basin_hopping,33.73885749963531,0.46331097815087025,CMA-ES
dual_annealing,pso,28.770127454442807,0.2536110702796427,Dual Annealing
cmaes,dual_annealing,54.61971967878941,0.35199465489294485,CMA-ES
dual_annealing,basin_hopping,28.941052153954374,0.3412756062335591,Dual Annealing
lshade,cmaes,59.68184115667983,0.46602230480959655,L-SHADE
lshade,dual_annealing,39.7216991001111,0.37611537643347476,L-SHADE
cmaes,dual_annealing,31.94473607231714,0.24276082738974156,CMA-ES
pso,basin_hopping,275.02813488243174,0.47577512932514376,PSO
dual_annealing,pso,28.713079223805973,0.23082871531828128,Dual Annealing
lshade,dual_annealing,52.07766440961932,0.4262551566681846,L-SHADE
cmaes,lshade,34.45413155515605,0.3426257095644387,CMA-ES
cmaes,pso,33.999382250478995,0.25622270864956825,CMA-ES
